param_C,param_solver,mean_test_score,std_test_score
0.01,lbfgs,0.3779411764705882,0.01894720400988988
0.01,saga,0.3779411764705882,0.01894720400988988
0.1,lbfgs,0.7801470588235294,0.06136072366183841
0.1,saga,0.7801470588235294,0.06136072366183841
1.0,lbfgs,0.8897058823529411,0.04725373239135184
1.0,saga,0.8897058823529411,0.04725373239135184
10.0,lbfgs,0.8897058823529411,0.025892377737733833
10.0,saga,0.9139705882352942,0.0318476585701584
100.0,lbfgs,0.8897058823529411,0.025892377737733833
100.0,saga,0.9014705882352942,0.032419717183895
